audio_path,caption
1oaaSrDJimABpOdCEbw2DJ.npy,"[0:00-10:00] The song uses an acoustic piano, a guitar, a bass, and a synth. The song has a steady drumming rhythm. The mood of the song is romantic and passionate. The song has a romantic mood and can be played in a romantic movie. No, there are no other instruments used in the song. [10:00-20:00]  [20:00-30:00] "
70XtWbcVZcpaOddJftMcVi.npy,"[0:00-10:00] The song uses groovy bass, punchy snare, claps, shimmering shakers, synth pad, simple bass, and an acoustic guitar melody. The rhythm of the song is characterized by steady drumming, claps, a groovy bass line, shimmering shakers, synth bells melody, and a simple bass. The mood of the song is soft, mellow, romantic, passionate and intimate. The song has a '4 on the floor' kick pattern. Other instruments used in the song include percussion, bass, and a synth. [10:00-20:00]  [20:00-30:00] "
1qGmxIGEuBEkj7bft72Kh0.npy,"[0:00-10:00] A distorted e-bass is used in this song, playing a simple fast bassline. The drum is playing a fast groove with heavy cymbal crashes and a distorted e-guitar. The mood of the song is aggressive and energetic. A distorted e-guitar is playing lower notes along with the bass. A distorted e-guitar is playing lower notes along with the bass. [10:00-20:00]  [20:00-30:00] "
1J2tfINpEHRhCP8CUS15lE.npy,"[0:00-10:00] The song uses groovy bass, punchy kick, snare hits, shimmering hi hats and groovy synth keys melody. The rhythm of the song is characterized by a groovy bass, punchy kick and snare hits, shimmering hi hats and groovy synth keys melody. The mood of the song is groovy. The song has a funky electric guitar melody, groovy bass, punchy kick and snare hits and shimmering hi hats. No, there are no voices in this song. [10:00-20:00]  [20:00-30:00] "
0rXZu998CXslEpwhxdHzeu.npy,"[0:00-10:00] The song uses a saxophone, guitar, bass, and drums. The song has a medium tempo. The song has a smooth, romantic, and passionate mood. The song features a saxophone, trumpet, piano, double bass and hi hats. No, there are no other instruments or voices in this song. [10:00-20:00]  [20:00-30:00] "
5uQ2MctOg8mvtasub2fYIq.npy,"[0:00-10:00] The song uses acoustic drums, an e-bass, and two e-guitars. The drum is holding a four on the floor groove with a kick on every beat. The mood of the song is energetic and exciting. The song may be played at a live concert. No, there is no singer in this song. [10:00-20:00]  [20:00-30:00] "
3Z0rvpVDOmERviiXq8TRyf.npy,"[0:00-10:00] The song uses a guitar, drums, bass, and various percussion instruments. The song has a steady drumming rhythm. The mood of the song is romantic and passionate. The song has a steady drumming rhythm, with a percussive bass line, guitar, and various percussion playing. No, there are no voices in this song. [10:00-20:00]  [20:00-30:00] "
5eJ0DG8hnSZkSixPVQvNDl.npy,"[0:00-10:00] The song uses a piano, electric guitar, bass, and drums. The tempo of the song is medium. The mood of the song is emotional and uplifting. The song has a slow tempo. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
6vcdzohhBSbNdsZBh5IRpQ.npy,"[0:00-10:00] The song uses a keyboard, drums, bass, and an acoustic guitar. The song has a medium tempo with a steady drumming rhythm. The mood of the song is passionate and romantic. The song has a medium tempo and is accompanied by a keyboard. No, there is no vocal melody in this song. [10:00-20:00]  [20:00-30:00] "
0YENB7i8JsiYrGnioZkyq2.npy,"[0:00-10:00] The song uses a keyboard for accompaniment, along with steady drumming and a strong bass line. The song has a medium tempo. The mood of the song is uplifting and passionate. The song has a medium tempo and uses a keyboard for accompaniment, along with steady drumming, a strong bass line and a guitar accompaniment. No, there is no vocal melody or percussion in this song. [10:00-20:00]  [20:00-30:00] "
2AWJyLujBXg9wvlVoRLdpT.npy,"[0:00-10:00] The song uses a piano, a bass, a digital drum, and strings. The song has a medium tempo and a variety of instruments including a piano, strings, a bass, and a flute. The mood of the song is romantic and easygoing. The song starts with a soft female vocal singing, followed by a soulful female voice singing in a higher pitch. Other instruments used in the song include a piano and a bass. [10:00-20:00]  [20:00-30:00] "
3R9ZAWuERsqNapDtUiu6Sp.npy,"[0:00-10:00] The song features a distorted electric guitar melody, energetic drums and groovy bass guitar. The rhythm of the song is medium fast. The mood of the song is energetic and upbeat. The song features a passionate male vocal singing. No, there are no voices in this song. It is an instrumental. [10:00-20:00]  [20:00-30:00] "
2ee9kqcX5qVkZwQmeJZVVC.npy,"[0:00-10:00] The song uses punchy kick and snare hits, shimmering hi hats, groovy bass and electric guitar melody. The tempo of the song is fast and the instruments used are drums, bass, electric guitar, and keyboard. The mood of the song is energetic and addictive. The song has a funky, addictive, and passionate mood. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
6XixO9LiGvH7Zy0Hfnyhgm.npy,"[0:00-10:00] The song uses punchy kick and snare hits, shimmering cymbals, distorted bass, and wide aggressive electric guitar melody. The song sounds energetic and aggressive. The song sounds energetic and exciting. The song sounds energetic and aggressive. Other instruments used in the song include punchy kick and snare hits, cymbals, distorted bass, and bells. [10:00-20:00]  [20:00-30:00] "
66O0pFEFp23dgYjoAd6RKK.npy,"[0:00-10:00] The song uses punchy kick and snare hits, synth pads, shimmering hi hats and groovy bass. The song has a groovy mood. The song has a groovy and addictive mood. The song sounds soulful and passionate. No, there are no other instruments or voices in this song. [10:00-20:00]  [20:00-30:00] "
56von762XlyEtT3qQhm47H.npy,"[0:00-10:00] The song uses an acoustic drums, an e-bass, and two e-guitars. The rhythm of the song is maintained by the acoustic drums. The mood of the song is energetic and addictive. The song has an energetic and exciting mood. No, there are no voices in this song. It is an instrumental. [10:00-20:00]  [20:00-30:00] "
6lSVidZXCnOnYAWcgIqVDF.npy,"[0:00-10:00] Other instruments used in the song include percussion, a bass, an e-guitar, and a piano. The rhythm of the song is maintained by the percussion. The mood of the song is happy. The song has a groovy bass line, children's melody, punchy snare, soft kick hits, shimmering hi hats and groovy piano chords. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
2O9llQaI7q6FPY2afs9k8R.npy,"[0:00-10:00] The song uses a keyboard for accompaniment, along with steady drumming and a strong bass line. The tempo of the song is medium and the instruments used are drums, bass, acoustic guitar, and keyboard. The mood of the song is passionate and emotional. The song has a passionate and emotional mood. No, there is no percussion used in the song. [10:00-20:00]  [20:00-30:00] "
7lSDCrF11sdTVfjbAQVZE8.npy,"[0:00-10:00] The song features an electric guitar, a distortion guitar, and a percussive bass. The rhythm of the song is maintained by the drums. The mood of the song is energetic. The song has a fast tempo. No, there are no voices in this song. It is an instrumental. [10:00-20:00]  [20:00-30:00] "
3zHXsywWD1eRE4KIKXGK8q.npy,"[0:00-10:00] The song uses a repetitive synth lead melody, groovy bass, punchy kick and snare hits, shimmering hi hats and electric guitar chords. The song has a fast tempo which contributes to its energetic and exciting mood. The song has an energetic and exciting mood. The song has an energetic and exciting mood. No, there are no other instruments or voices in this song. [10:00-20:00]  [20:00-30:00] "
3v9ELl9T121dhadZyIiQVn.npy,"[0:00-10:00] The song uses an acoustic drum, a bass, a piano, and guitar. The tempo of the song is fast. The mood of the song is happy. The song has a catchy beat. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
22sLuJYcvZOSoLLRYev1s5.npy,"[0:00-10:00] The instruments used in the song are electric guitar, bass guitar, drums, tambourine, and keyboard. The tempo of the song is fast. The mood of the song is happy. The song is sung by a female singer. No, there are no voices in this song. [10:00-20:00]  [20:00-30:00] "
3c1EcaIF3iX1PUpIvRyVR7.npy,"[0:00-10:00] An electric guitar is used in the song. The tempo of the song is slow. The song has a dramatic mood. The song has a slow tempo. No, there are no other instruments used in this song. [10:00-20:00]  [20:00-30:00] "
2MKXAkcFDDaFAlpgMEkeNH.npy,"[0:00-10:00] The song uses a groovy bass, shimmering hi hats, crash cymbal, and acoustic guitar. The song has a slow tempo. The song has a romantic, passionate, and soulful mood. The song has a passionate, soft, mellow and soulful mood. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
0tHOTQBn2M4CD2dcyHivth.npy,"[0:00-10:00] The instruments used in this song are distorted electric guitar, bass guitar, and drums. The tempo of the song is fast. The mood of the song is energetic and exciting. The song is described as violent and intense. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
6Uvi1wY1oKXO1zZFlbqsqk.npy,"[0:00-10:00] The instruments used in the song are electric guitar, bass guitar, and acoustic drums. The bassline of the song is groovy. The song sounds energetic and exciting. The song sounds energetic and exciting. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
0ctOamnBE7fk0A3xBAMxTh.npy,"[0:00-10:00] The song uses shimmering shakers, wooden percussion, synth keys melody, and a groovy bass. The rhythm of the song is groovy. The overall mood of the song is fun and happy. The overall mood of the song is like something kids would listen to. No, there are no voices in this song. [10:00-20:00]  [20:00-30:00] "
6q1pd4xCMHPb9PADvGBhWe.npy,"[0:00-10:00] The song uses a drum, a percussive bass line, and keyboard. The tempo of the song is fast. The mood of the song is happy. The song has a raspy and energetic mood. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
7hVhRCDV100Jq26NGR7adw.npy,"[0:00-10:00] The song uses an electric guitar, bass, acoustic guitar, and drums. The tempo of the song is medium. The mood of the song is emotional and passionate. The song has a passionate, soft, mellow, emotional, and heartfelt mood. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
7xPXdN7i2u7ts6vWwCnmcq.npy,"[0:00-10:00] The song uses punchy kick and snare hits, shimmering hi hats, groovy bass and brass melody. The rhythm of the song is maintained by a punchy kick and snare hits playing along with shimmering hi hats. The song has a happy, fun, and groovy mood. The vocals in the song are fruity and male, with the vocalist rapping over the instrumental. No, there are no voices in this song. It is an amateur recording. [10:00-20:00]  [20:00-30:00] "
5AP5i2pXBU07ZyIYyGu7lu.npy,"[0:00-10:00] The song uses a keyboard for accompaniment, a steady drumming rhythm, and a tambourine. The rhythm of the song is upbeat. The song has a healing and relaxing mood. The song starts off with four ascending notes followed by one descending note which is stretched out. This is followed by a descending run. No, there are no other instruments or voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
2sgx1DY9WyziUCiesB9iz8.npy,"[0:00-10:00] The song uses drums, an e-bass, an acoustic guitar, and keyboard. The rhythm of the song is uptempo. The mood of the song is happy. The song has poor audio quality. No, there are no voices in this song. [10:00-20:00]  [20:00-30:00] "
5bX7U1sixSnd3G2X9LNRmP.npy,"[0:00-10:00] The instruments used in the song are percussion, bass, and an acoustic guitar. The song has a medium tempo. The mood of the song is happy. The song has a medium tempo. No, there are no voices in this song. [10:00-20:00]  [20:00-30:00] "
2VEZx7NWsZ1D0eJ4uv5Fym.npy,"[0:00-10:00] The song features a punchy '4 on the floor' kick pattern, shimmering hi hats, claps, electric guitar melody and groovy synth bass. The song has a rhythmic and groovy mood. The song is upbeat, energetic, enthusiastic, pulsating, youthful and hypnotic. The song features passionate male vocals. No, there are no other instruments or voices in this song. [10:00-20:00]  [20:00-30:00] "
2j3PFZXmenUxgjjBUIod7F.npy,"[0:00-10:00] The song uses an electric guitar, drums, cymbals, and a bass. The tempo of the song is medium fast. The mood of the song is romantic and passionate. The song has a medium fast tempo with keyboard accompaniment, steady drumming rhythm, and a percussive bass line. No, there is no vocal melody in this song. [10:00-20:00]  [20:00-30:00] "
087otJT7SXmRp9UQMAC1y8.npy,"[0:00-10:00] The song uses digital drums, a strong kick, a snare, and a synth bass. The synth sounds are panned to the right side of the speakers. The mood of the song is hopeful and spiritual. The synth sounds are panned to the right side of the speakers. No, there are no voices in this song. [10:00-20:00]  [20:00-30:00] "
5Aap5YVJvxkUSv0vf70GPh.npy,"[0:00-10:00] The song uses an electric guitar, bass guitar, and percussion. The bass plays the root notes of the chords without any flourishes. The mood of the song is energetic and upbeat. The bass plays the root notes of the chords, adding depth to the song. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
2JkHFnYHpAYs8tMC7VIoDu.npy,"[0:00-10:00] The song uses percussion, a bass, and a keyboard. The percussion plays a simple beat in common time. The mood of the song is passionate and emotional. The song starts with a male voice talking, followed by a female voice singing the main melody. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
6dw1sbdCwW5sbsbcpq6QED.npy,"[0:00-10:00] The song uses punchy kick and snare hits, shimmering cymbals, tinny hi hats and a synth lead melody. The song has a fast tempo. The mood of the song is passionate and hypnotic. The song sounds energetic and exciting. No, there are no voices in this song. It is an instrumental. [10:00-20:00]  [20:00-30:00] "
6XGGJf7nVYqrk128vxKUkf.npy,"[0:00-10:00] The song uses acoustic guitar, piano, strings, and a bass. The song has a medium tempo with a steady drumming rhythm. The mood of the song is romantic. The song has a medium tempo and uses a variety of instruments including drums, guitar, keyboard, and percussion. No, there are no voices in this song. [10:00-20:00]  [20:00-30:00] "
2stwPgrh5NpNr8PdiIPEhE.npy,"[0:00-10:00] The song uses a fast-paced drumming rhythm, percussive keyboard, strong bass line and a distorted guitar. The song has a fast tempo. The song is exciting and energetic. The song is used as a soundtrack for an anime show. No, there is no singer in this song. [10:00-20:00]  [20:00-30:00] "
5qugKP8gPqN91O7KBMkW6P.npy,"[0:00-10:00] The song features punchy snare and kick hits, shimmering hi hats, groovy bass, synth lead melody and some claps. The rhythm of the song is characterized by wooden percussion, punchy snare, claps, groovy bass, and shimmering hi-hats. The mood of the song is happy. The song has a groovy, funky and passionate mood. No, there are no voices in this song. [10:00-20:00]  [20:00-30:00] "
144JMbvbR5txNzoZ112wo4.npy,"[0:00-10:00] The song uses percussion, a bass, and a keyboard. The song has a fast tempo. The mood of the song is romantic and it can be played at a club. The song has an upbeat mood. No, there are no other instruments used in this song. [10:00-20:00]  [20:00-30:00] "
36vtADf9F9OXMX2Zp8SsZg.npy,"[0:00-10:00] The song uses accordion, acoustic rhythm guitar, groovy bass guitar, shimmering shakers and punchy kick and snare hits. The guitar plays arpeggiated chords, while the bass plays a groovy melody. The song has an addictive, passionate, and romantic mood. The accordion plays a solo melody in the song. Other instruments used in the song include a tambourine, an accordion, and a bass. [10:00-20:00]  [20:00-30:00] "
4DGe75LtEVn5Cy54xZC5NY.npy,"[0:00-10:00] The song uses punchy kick and snare hits, shimmering cymbals, groovy bass and synth keys melody. The tempo of the song is medium. The mood of the song is energetic and addictive. The song has a punchy and groovy mood. No, there are no voices in this song. It is an instrumental piece. [10:00-20:00]  [20:00-30:00] "
0NAwYwfqigFQ8RPg0RytP0.npy,"[0:00-10:00] The song uses punchy kick and snare hits, shimmering cymbals, groovy bass and wide electric guitar melody. The rhythm of the song is characterized by punchy kick and snare hits, shimmering hi hats and a synth lead melody. The mood of the song is energetic and exciting. The song has a four on the floor beat pattern. No, there are no voices in this song. It is an instrumental. [10:00-20:00]  [20:00-30:00] "
3EEzQDCP8jRl2pEt9eDKMO.npy,"[0:00-10:00] The instruments used in the song are an electric guitar, bass guitar, and drums. The tempo of the song is fast. The mood of the song is energetic. The instruments used in the song are an electric guitar, a bass guitar, and drums. No, there are no voices in this song. It is an instrumental. [10:00-20:00]  [20:00-30:00] "
0BRFeA3hIDr4WaBPELol5b.npy,"[0:00-10:00] The song uses a didgeridoo and a percussive bass. The rhythm of the song is medium fast. The mood of the song is chill and addictive. The song has a high pitched male vocal rapping. No, there are no voices in this song. [10:00-20:00]  [20:00-30:00] "
5aSZXRJg2NxnWcK1LKCldg.npy,"[0:00-10:00] The song uses groovy bass, punchy kick and snare hits, shimmering cymbals, brass melody and wooden percussion. The rhythm of the song is fast. The song sounds energetic and passionate. The song sounds energetic and passionate. No, there are no other instruments or voices in this song. [10:00-20:00]  [20:00-30:00] "
6OTJ1osgoSNY6U1UIK3Hf5.npy,"[0:00-10:00] The song uses a drum, cymbal, bass, guitar, and keyboard. The tempo of the song is fast. The mood of the song is happy. The song sounds energetic. No, there are no voices in this song. It is an instrumental. [10:00-20:00]  [20:00-30:00] "
1RzJ37KMEmEcxtp3SC4WFl.npy,"[0:00-10:00] The instruments used in the song are kick and snare drums, cymbals, bass, and electric guitars. The bass in the song plays the root notes of the chords. The mood of the song is aggressive and energetic. The melody of the song is sung by a male voice in a higher key. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
4Iulw1aCh0z40QQCfjcbLm.npy,"[0:00-10:00] The song uses a keyboard accompaniment, steady drumming, a bass line, and a guitar. The song has a medium tempo. The song has a cheerful mood. The song has a sad, emotional, and heartfelt mood. No, there is no vocal melody in the song. [10:00-20:00]  [20:00-30:00] "
1PN1qeguZngSXHCn3BhOxA.npy,"[0:00-10:00] The song uses a variety of instruments including punchy kick and snare hits, shimmering cymbals, groovy bass guitar and electric guitar. The bassline of the song is groovy. The song sounds energetic and passionate. The song sounds energetic and exciting. No, there are no other instruments or voices in this song. [10:00-20:00]  [20:00-30:00] "
58PSYdY0GFg0LFb2PxYk4T.npy,"[0:00-10:00] The instruments used in the song are drums, bass, and an electric guitar. The rhythm of the song is provided by a acoustic drum beat with a simple bassline. The song is upbeat, high-spirited, energetic, buoyant, cheerful, happy and groovy. The rhythm of the song is provided by the acoustic drums, bass, and an electric guitar. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
5qzwrPRbnaqSOK545OEJBq.npy,"[0:00-10:00] The song features a groovy bass, punchy kick and snare hits, shimmering hi hats, groovy piano melody and electric guitar melody. The bass plays the root notes of the chords. The mood of the song is energetic and upbeat. The song has a lively beat played by the drums, a bass line, and a keyboard. No, there are no voices in this song. It is an instrumental song. [10:00-20:00]  [20:00-30:00] "
